scientific_name,thai_name,CLASS_ID_MAP,group,venomous,risk_level,venom_type/0,venom_type/1,morphology,symptoms_th,habitat_th,first_aid_th/0,first_aid_th/1,first_aid_th/2,first_aid_th/3
"Ophiophagus hannah","งูจงอาง",497,"deadly","มีพิษรุนแรง",5,"neurotoxic","","ลำตัวยาวมาก แข็งแรง สีเขียวมะกอกถึงน้ำตาลหรือดำ มีลายจางๆ หัวใหญ่ คอแผ่แม่เบี้ยได้แต่ค่อนข้างแคบกว่างูเห่า หางยาว","พิษต่อระบบประสาท: หนังตาตก พูดไม่ชัด กลืนลำบาก กล้ามเนื้ออ่อนแรง อาจหายใจล้มเหลว","ป่าและชายป่า ป่าละเมาะ สวนผลไม้/พื้นที่รกร้างใกล้ป่า และแนวรอยต่อป่ากับชุมชน (มักพบใกล้แหล่งน้ำหรือพื้นที่ที่มีงูชุกชุม)","ดามอวัยวะให้นิ่งและลดการเคลื่อนไหว","ล้างแผลด้วยน้ำสะอาดและสบู่","รีบไปโรงพยาบาลทันที (เฝ้าระวังการหายใจ)",""
"Naja naja","งูเห่า",462,"deadly","มีพิษรุนแรง",5,"neurotoxic","cytotoxic","ลำตัวปานกลางถึงใหญ่ สีดำ/น้ำตาล/เทา เมื่อขู่จะชูคอและแผ่แม่เบี้ยชัดเจน (ลวดลายแม่เบี้ยแตกต่างตามชนิด/พื้นที่) หัวไม่เป็นสามเหลี่ยมเด่น","พิษต่อระบบประสาทร่วมกับทำลายเนื้อเยื่อ: หนังตาตก อ่อนแรง หายใจลำบาก แผลบวม/ปวด อาจเนื้อตาย","พื้นที่เกษตร (นา/สวน/ไร่) พุ่มหญ้า กองฟาง/กองไม้ และบริเวณใกล้บ้านเรือนหรือชุมชนชนบท","ล้างแผลด้วยน้ำสะอาดและสบู่","ดามอวัยวะและห้ามขยับมาก","รีบไปโรงพยาบาลทันที",""
"Daboia russelii","งูแมวเซา",203,"deadly","มีพิษรุนแรง",5,"hemotoxic","","ลำตัวอ้วนหนา หัวสามเหลี่ยมชัด คอคอด เกล็ดสาก ลายวงรีใหญ่เด่นเรียงตามลำตัว รูม่านตาแนวตั้ง มักขดตัวนิ่งก่อนฉก","พิษต่อระบบเลือด: ปวดบวมมาก ช้ำ เลือดออกง่าย/ผิดปกติ เวียนศีรษะ อาจเกิดภาวะไตวาย","ทุ่งนา/ไร่/พื้นที่โล่งมีหญ้ารก ขอบป่าแห้ง และพื้นที่เกษตรที่มีหนูชุกชุม (มักพบตามพื้นดิน)","ดามอวัยวะให้นิ่ง","ล้างแผล","รีบไปโรงพยาบาลเพื่อประเมินการแข็งตัวของเลือดและการทำงานของไต",""
"Bungarus multicinctus","งูทับสมิงคลา (หลายปล้อง)",99,"deadly","มีพิษรุนแรง",5,"neurotoxic","","ลำตัวสีดำคาดปล้องสีขาวชัดเจน เกล็ดเรียบมัน หัวเล็กไม่เด่นจากคอ หางสั้น มักออกหากินกลางคืน","พิษประสาทรุนแรง: แผลอาจไม่เจ็บมาก แต่อาการลามเร็ว หนังตาตก กลืนลำบาก กล้ามเนื้ออ่อนแรง จนหายใจล้มเหลว","ออกหากินกลางคืน พบตามซอกมุม/ใต้กองไม้กองอิฐ ใต้ถุนบ้าน ขอบพื้นที่เกษตร และพื้นที่ชื้นใกล้ชุมชน (มักพบตามพื้นดิน)","รีบไปโรงพยาบาลทันทีแม้แผลดูเล็ก","ดามอวัยวะ ลดการเคลื่อนไหว","เฝ้าระวังอาการหายใจลำบาก",""
"Trimeresurus stejnegeri","งูเขียวหางไหม้ท้องเหลือง",725,"deadly","มีพิษรุนแรง",5,"hemotoxic","","ลำตัวสีเขียวสด หัวสามเหลี่ยมชัด คอคอด เกล็ดสาก มีหลุมรับความร้อน (pit) ระหว่างตากับรูจมูก รูม่านตาแนวตั้ง บางตัวมีเส้นสีอ่อนพาดข้างลำตัว หางอาจออกน้ำตาลแดง","พิษต่อเลือด/เนื้อเยื่อ: ปวดบวม แดง ช้ำ เลือดออกง่าย การแข็งตัวของเลือดผิดปกติ","พุ่มไม้หนาทึบ สวน/สวนผลไม้ ริมป่า ป่าละเมาะ และพื้นที่ชื้นใกล้ลำธาร (มักเกาะตามพุ่มไม้ระดับต่ำถึงกลาง ใกล้ทางเดิน/รั้ว/กิ่งไม้)","ล้างแผล","ดามอวัยวะให้นิ่ง","ไปโรงพยาบาลเพื่อตรวจการแข็งตัวของเลือด",""
"Protobothrops mucrosquamatus","งูหางแฮ่มกาญจน์",560,"deadly","มีพิษรุนแรง",5,"hemotoxic","cytotoxic","งูเขี้ยวพับ ลำตัวค่อนข้างอ้วน หัวสามเหลี่ยม คอคอด เกล็ดสาก สีพื้นน้ำตาล/เทา มีลายปื้นด้านข้าง มีหลุมรับความร้อน (pit) และรูม่านตาแนวตั้ง","พิษต่อเลือดและทำลายเนื้อเยื่อ: ปวดบวมมาก อาจเกิดช้ำ/พุพอง เสี่ยงเนื้อตาย และเลือดแข็งตัวผิดปกติ","ป่า/เชิงเขา/พื้นที่หินและพุ่มไม้ ริมทางป่า สวนที่ติดป่า (มักพบตามพื้นดิน โดยเฉพาะพื้นที่ชื้นหรือมีใบไม้ทับถม)","ดามอวัยวะให้นิ่ง","ล้างแผล","รีบไปโรงพยาบาล",""
"Laticauda colubrina","งูสมิงทะเลปากเหลือง",368,"deadly","มีพิษรุนแรง",5,"myotoxic","","ลำตัวมีปล้องดำสลับขาวชัดเจน หัวสีดำ ปากบนสีเหลืองเด่น หางแบนด้านข้างเป็นพายสำหรับว่ายน้ำ ลำตัวค่อนข้างหนา","พิษต่อกล้ามเนื้อ: ปวดกล้ามเนื้อทั่วตัว อ่อนแรง ปัสสาวะสีเข้ม (กล้ามเนื้อสลาย) เสี่ยงไตวาย แผลกัดอาจดูไม่รุนแรง","ทะเลชายฝั่ง แนวปะการัง โขดหิน เกาะต่างๆ และปากอ่าว (บางครั้งขึ้นฝั่งตามชายหาด/ซอกหินเพื่อพักหรือวางไข่)","ล้างแผล","ดามอวัยวะ ลดการเคลื่อนไหว","รีบไปโรงพยาบาลทันที (เฝ้าระวังไตและกล้ามเนื้อสลาย)",""
"Chrysopelea ornata","งูเขียวพระอินทร์",135,"non_venomous","ไม่มีพิษ",1,"","","ลำตัวเรียวยาว สีเขียวอ่อน/เขียวอมเหลือง มีลายดำตาข่ายหรือปล้องดำ โดยบริเวณหัวมักมีสีดำมากกว่าส่วนอื่น ใต้คางขาว ท้องเขียวอ่อนหรือเหลืองอ่อน เกล็ดเรียบ ตากลม","ไม่มีพิษ: มักปวด/บวมเล็กน้อยจากรอยกัด เสี่ยงติดเชื้อได้","ตามบ้าน สวน ต้นไม้ หลังคา/ฝ้า เพดาน และบริเวณที่มีพุ่มไม้ (มักพบเกาะตามกิ่งไม้/ซอกไม้)","ล้างแผลด้วยน้ำสะอาดและสบู่","กดห้ามเลือดถ้ามี","ปิดแผลและสังเกตอาการติดเชื้อ",""
"Ahaetulla prasina","งูเขียวปากจิ้งจก",25,"non_venomous","ไม่มีพิษ",1,"","","ลำตัวยาวเรียวมาก สีเขียวสด ลำตัวบางคล้ายกิ่งไม้ หัวแหลมยื่นยาวคล้ายปากจิ้งจก ตาโต รูม่านตาแนวนอน พบตามพุ่มไม้/กิ่งไม้","ไม่มีพิษ: แผลตื้น ปวดเล็กน้อย","พุ่มไม้ ต้นไม้ สวน ป่าโปร่ง และแนวรั้วพุ่มไม้ (พบบ่อยช่วงกลางวัน)","ล้างแผล","ปิดแผล","สังเกตอาการ",""
"Ahaetulla nasuta","งูเขียวปากแหนบ",25,"non_venomous","ไม่มีพิษ",1,"","","ลำตัวยาวเรียวมาก สีเขียวหรือเขียวอมเทา หัวเรียวยาวปลายจมูกแหลม ลำตัวบางมากคล้ายกิ่งไม้ ตาโต รูม่านตาแนวนอน","โดยทั่วไปไม่เป็นอันตรายต่อคน: อาจปวด/บวมเล็กน้อยจากรอยกัด","พุ่มไม้ ป่าโปร่ง แนวพงหญ้า และสวนที่มีไม้พุ่มหนา (มักพบเกาะตามกิ่งไม้ระดับต่ำถึงกลาง)","ล้างแผล","ปิดแผล","สังเกตอาการ หากบวมมาก/แพ้ให้พบแพทย์",""
